Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.35068,261,0,0,3,4,5.544,0.6256,1,0.801075,0.800799
m.11832,897,8,11,5,8,-9.437,-2.2573,0.133643,0.814342,0.070226
m.35071,140,2,2,3,4,3.509,0.6474,1,0.795529,0.802651
m.35100,307,0,1,1,1,-2.111,-0.2915,0.954263,0.912281,0.630149
m.35136,334,1,3,1,2,4.125,0.3989,1,0.847949,0.77701
m.35147,172,2,3,2,2,11.359,1.4901,0.806143,0.430534,0.831931
m.35243,207,0,0,0,0,-5.59,-0.6351,0.810241,0.908707,0.517296
m.35307,214,1,1,0,0,-1.359,-0.2272,0.970679,0.910189,0.649247
m.3535,553,2,1,0,0,1.756,0.3176,1,0.860722,0.766141
m.3543,203,1,1,1,1,-6.002,-1.216,0.525648,0.867678,0.323405
m.3547,337,0,0,0,3,-1.735,-0.3021,0.95118,0.912541,0.626916
m.1184,205,1,0,0,0,3.308,0.5157,1,0.826096,0.790361
m.355,256,33,35,26,28,9.94,1.4757,0.815231,0.438265,0.831968
m.35511,123,2,3,1,1,-0.81,-0.0701,0.99447,0.901546,0.691572
m.35564,204,4,3,1,1,10.46,1.8931,0.486201,0.239486,0.825721
m.3565,211,6,7,1,3,-11.435,-1.7908,0.289007,0.83139,0.158244
m.357,733,0,1,0,0,5.646,0.9908,0.973937,0.679761,0.823538
m.35843,140,0,1,1,1,0.388,0.052,0.999738,0.891692,0.719613
m.3586,360,0,1,0,0,1.417,0.1777,0.999967,0.878834,0.74393
m.35895,213,1,2,0,1,-10.727,-1.9892,0.216254,0.82294,0.114597
m.35911,133,8,9,7,8,3.995,0.7352,1,0.771026,0.809452
m.36003,135,2,2,2,2,-4.641,-0.8552,0.693259,0.895638,0.442234
m.11842,252,4,1,2,2,2.993,0.5979,1,0.807832,0.798345
m.3601,988,0,0,0,1,8.255,1.3594,0.876754,0.500931,0.831708
m.36024,385,12,11,12,13,-8.223,-1.1965,0.534044,0.869166,0.329682
m.36124,147,2,2,1,3,14.413,1.3641,0.874656,0.498411,0.831738
m.3619,642,1,0,0,1,2.97,0.3901,1,0.849421,0.7759
m.362,112,0,0,0,1,7.341,0.6788,1,0.787174,0.805201
