Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.12035	180	5	4	3	1	5	2	0.023	0.0326	0.995543	0.195403	0.968745
m.1204	135	2	0	0	1	2	0	0.076	0.0902	0.976427	0.165346	0.970889
m.12048	569	18	25	11	23	30	13	1.169	3.0557	0.000000	0.000000	0.396890
m.12051	247	4	3	2	4	5	1	0.780	1.2310	0.000121	0.000004	0.616660
m.12056	309	1	3	2	5	3	4	0.956	1.5864	0.000000	0.000000	0.542954
m.12069	191	1	1	0	0	0	0	-0.078	-0.1046	0.995778	0.261560	0.955019
m.12097	491	0	0	0	1	1	0	-0.131	-0.1697	0.992288	0.287562	0.944963
m.12124	155	5	2	2	2	6	0	0.507	0.7573	0.044371	0.002026	0.766088
m.12129	447	104	216	110	157	179	95	0.467	3.8922	0.000000	0.000000	0.377542
m.1215	381	6	14	4	8	10	5	1.104	2.1114	0.000000	0.000000	0.466453
m.12175	403	6	8	5	6	7	4	0.628	1.2204	0.000142	0.000005	0.619305
m.12185	535	6	6	2	9	7	2	1.461	2.5456	0.000000	0.000000	0.425941
m.12229	471	37	58	29	59	56	32	0.872	3.5424	0.000000	0.000000	0.383131
m.1223	739	4	5	3	3	9	3	0.615	0.9475	0.005793	0.000235	0.698037
m.12238	232	35	45	27	45	40	27	0.782	3.2231	0.000000	0.000000	0.390897
m.12306	644	1	4	3	2	2	1	0.012	0.0194	0.997586	0.202219	0.967879
m.12326	225	1	2	0	3	4	0	0.862	1.2658	0.000070	0.000003	0.608184
m.12334	1458	7	7	3	6	10	3	1.094	1.9445	0.000000	0.000000	0.487749
m.1235	511	9	4	3	3	6	3	0.593	0.9997	0.003051	0.000121	0.681327
m.12364	195	0	0	0	0	3	0	0.233	0.3124	0.680742	0.064602	0.941984
m.1238	450	7	7	4	4	6	1	0.506	0.8790	0.012755	0.000535	0.721226
m.1240	151	0	0	0	0	0	1	-0.103	-0.1392	0.993476	0.275900	0.950046
m.12417	694	7	8	5	6	12	6	0.842	1.6764	0.000000	0.000000	0.527815
m.1245	204	40	45	32	38	48	26	0.470	1.8571	0.000000	0.000000	0.500054
m.1249	263	6	31	14	22	14	11	0.812	2.2586	0.000000	0.000000	0.450341
m.12517	148	0	0	1	1	0	1	-0.063	-0.0724	0.998112	0.247226	0.959073
